"station","dep","layer","latitude","longitude","cbSeg92","gamOption","hydroTermSel","hydroTermSel_var","usgsGageID","aic","rmse","adjR2","periodName","seasonName","seasonMonths","periodStart","periodEnd","gamDiff_bl_mn","gamDiff_cr_mn","gamDiff_bl_mn_obs","gamDiff_cr_mn_obs","gamDiff_abs_chg","gamDiff_abs_chg_obs","gamDiff_pct_chg","gamDiff_diff_se","gamDiff_chg_pval","significance","direction","level","map_code"
"CB5.4","do","B",37.80013,-76.17466,"CB5MH_VA",2,NA,NA,NA,1584.25,1.193,0.8824,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",2.591662247,2.731039769,2.591662247,2.731039769,0.139377522,0.139377522,5.377919986,0.315391322,0.658743349,"NS","incr","0-50","NS"
"CB5.4W","do","B",37.81347,-76.29467,"CB5MH_VA",2,NA,NA,NA,1627.16,1.2627,0.7748,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.76174685,6.238501705,6.76174685,6.238501705,-0.523245144,-0.523245144,-7.738313129,0.294079952,0.075820489,"poss","decr","0-50","poss_decr_0-50"
"CB5.5","do","B",37.6918,-76.18967,"CB5MH_VA",2,NA,NA,NA,1603.2,1.1714,0.8908,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",3.088715746,3.280583862,3.088715746,3.280583862,0.191868116,0.191868116,6.211905899,0.317537439,0.545960183,"NS","incr","0-50","NS"
"CB6.1","do","B",37.58847,-76.16216,"CB6PH",2,NA,NA,NA,1574.13,1.0923,0.8947,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",3.447904127,3.641012749,3.447904127,3.641012749,0.193108622,0.193108622,5.600753827,0.26803962,0.471576678,"NS","incr","0-50","NS"
"CB6.2","do","B",37.4868,-76.15633,"CB6PH",2,NA,NA,NA,1500.43,1.033,0.8859,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",4.200018275,4.292054137,4.200018275,4.292054137,0.092035862,0.092035862,2.191320504,0.193797673,0.635056202,"NS","incr","0-50","NS"
"CB6.3","do","B",37.41153,-76.15966,"CB6PH",2,NA,NA,NA,1345,0.8945,0.8976,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",4.529939568,4.596737323,4.529939568,4.596737323,0.066797754,0.066797754,1.474583785,0.174800177,0.702518968,"NS","incr","0-50","NS"
"CB6.4","do","B",37.23653,-76.20799,"CB6PH",2,NA,NA,NA,1532.49,1.053,0.8454,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.267267584,5.267427694,5.267267584,5.267427694,0.00016011,0.00016011,0.00303971,0.221335661,0.999423107,"NS","incr","0-50","NS"
"CB7.1","do","B",37.68346,-75.98966,"CB7PH",2,NA,NA,NA,1495.18,1.1103,0.8608,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",4.01597578,4.364824229,4.01597578,4.364824229,0.348848449,0.348848449,8.686517764,0.236434826,0.140739703,"poss","incr","0-50","poss_incr_0-50"
"CB7.1N","do","B",37.77513,-75.97466,"CB7PH",2,NA,NA,NA,1523.31,1.1711,0.8254,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",4.799730312,4.991421162,4.799730312,4.991421162,0.19169085,0.19169085,3.993783766,0.240989039,0.426755955,"NS","incr","0-50","NS"
"CB7.1S","do","B",37.58124,-76.05799,"CB7PH",2,NA,NA,NA,1342.25,0.9333,0.8903,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",4.267232596,4.444969053,4.267232596,4.444969053,0.177736456,0.177736456,4.165145728,0.212627291,0.403615135,"NS","incr","0-50","NS"
"CB7.2","do","B",37.41153,-76.07966,"CB7PH",2,NA,NA,NA,1123.26,0.7255,0.9064,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.123483396,4.964083055,5.123483396,4.964083055,-0.159400342,-0.159400342,-3.111171237,0.20511828,0.437460334,"NS","decr","0-50","NS"
"CB7.2E","do","B",37.41153,-76.02466,"CB7PH",2,NA,NA,NA,1233.76,0.8083,0.8927,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",5.332849966,5.446105331,5.332849966,5.446105331,0.113255365,0.113255365,2.123730576,0.171771804,0.509981053,"NS","incr","0-50","NS"
"CB7.3","do","B",37.11681,-76.12521,"CB7PH",2,NA,NA,NA,1123.38,0.7083,0.8488,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.501994005,6.462835341,6.501994005,6.462835341,-0.039158664,-0.039158664,-0.602256229,0.184110148,0.831652747,"NS","decr","0-50","NS"
"CB7.3E","do","B",37.22875,-76.05383,"CB7PH",2,NA,NA,NA,1202.16,0.7566,0.8665,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.016711084,5.98818646,6.016711084,5.98818646,-0.028524624,-0.028524624,-0.47408998,0.196612103,0.884703796,"NS","decr","0-50","NS"
"CB7.4","do","B",36.9957,-76.02048,"CB8PH",2,NA,NA,NA,1024.95,0.6446,0.8308,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.834638931,6.700863386,6.834638931,6.700863386,-0.133775545,-0.133775545,-1.957316937,0.163000051,0.412196456,"NS","decr","0-50","NS"
"CB7.4N","do","B",37.06237,-75.99937,"CB7PH",2,NA,NA,NA,841.34,0.533,0.8666,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",7.191075952,7.083229882,7.191075952,7.083229882,-0.10784607,-0.10784607,-1.499720919,0.156259859,0.490399803,"NS","decr","0-50","NS"
"CB8.1","do","B",36.99542,-76.16772,"CB8PH",2,NA,NA,NA,1177.79,0.7219,0.8613,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.433578319,6.28512535,6.433578319,6.28512535,-0.14845297,-0.14845297,-2.307471245,0.208897679,0.477618419,"NS","decr","0-50","NS"
"CB8.1E","do","B",36.94737,-76.03493,"CB8PH",2,NA,NA,NA,1049.04,0.6603,0.837,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.578690227,6.496651936,6.578690227,6.496651936,-0.082038291,-0.082038291,-1.247030768,0.166721462,0.622884282,"NS","decr","0-50","NS"
"TF3.1E","do","B",38.24469,-77.32508,"RPPTF",2,NA,NA,NA,917.52,0.999,0.83,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.463367514,6.561008632,6.463367514,6.561008632,0.097641118,0.097641118,1.510684916,0.34045878,0.774460748,"NS","incr","0-50","NS"
"TF3.1B","do","B",38.24628,-77.23344,"RPPTF",2,NA,NA,NA,1001.19,1.0307,0.8203,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.100335809,6.130942761,6.100335809,6.130942761,0.030606952,0.030606952,0.50172569,0.287258089,0.915210671,"NS","incr","0-50","NS"
"TF3.2","do","B",38.17467,-77.18661,"RPPTF",2,NA,NA,NA,1286.87,1.0612,0.7607,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.448137943,6.36790532,6.448137943,6.36790532,-0.080232624,-0.080232624,-1.244275856,0.287729999,0.780497301,"NS","decr","0-50","NS"
"TF3.2A","do","B",38.11295,-77.05482,"RPPTF",2,NA,NA,NA,828.35,1.0699,0.7717,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.839685918,6.855705918,6.839685918,6.855705918,0.01602,0.01602,0.234221283,0.155886957,0.918223245,"NS","incr","0-50","NS"
"TF3.3","do","B",38.01847,-76.90928,"RPPOH",2,NA,NA,NA,1195.64,0.9311,0.8336,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.66244576,6.371765454,6.66244576,6.371765454,-0.290680306,-0.290680306,-4.362966938,0.277885153,0.29612395,"NS","decr","0-50","NS"
"RET3.1","do","B",37.9173,-76.8222,"RPPMH",2,NA,NA,NA,1263.52,0.9972,0.8157,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",6.237098743,6.212319698,6.237098743,6.212319698,-0.024779045,-0.024779045,-0.397284799,0.038610027,0.521350359,"NS","decr","0-50","NS"
"RET3.2","do","B",37.81158,-76.71195,"RPPMH",2,NA,NA,NA,1425.77,1.2087,0.8062,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",4.799682055,4.594720089,4.799682055,4.594720089,-0.204961966,-0.204961966,-4.270323819,0.058560146,0.000512769,"sig","decr","0-50","sig_decr_0-50"
"LE3.1","do","B",37.75925,-76.61592,"RPPMH",2,NA,NA,NA,1590.19,1.468,0.8062,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",3.263821069,2.724069741,3.263821069,2.724069741,-0.539751329,-0.539751329,-16.53740562,0.340753731,0.113920479,"poss","decr","0-50","poss_decr_0-50"
"LE3.2","do","B",37.66914,-76.55047,"RPPMH",2,NA,NA,NA,1518.53,1.3715,0.8744,"2009/10-Present","Summer1","6 7 8 9","2009 2010","2017 2018",2.079410393,1.991597129,2.079410393,1.991597129,-0.087813264,-0.087813264,-4.222988586,0.054958247,0.110811315,"poss","decr","0-50","poss_decr_0-50"
