type,station,dep,layer,latitude,longitude,cbSeg92,state,stationGrpName,parmName,numObservations,yearRng,yearBegin,yearEnd,numYrs,yearRangeDropped,fracLT,fracUnc,fracInt,fracRecen,recensor,depGAM,logTrans,gamOption,gamName,gamSelect,gamK1,gamK2,hydroTermSel,hydroTermSel.var,usgsGageID,usgsGageName,mgcvOK,cyear.coeff,cyear.pv,interB.label,interB.chgEst,interB.chgEst.pv,interC.label,interC.chgEst,interC.chgEst.pv,interD.label,interD.chgEst,interD.chgEst.pv,interE.label,interE.chgEst,interE.chgEst.pv,p.cyear.pv,p.inter.pv,s.cyear.pv,s.doy.pv,ti.cyear.doy.pv,s.flw_sal.pv,ti.flw_sal.doy,ti.flw_sal.cyear,ti.flw_sal.doy.cyear,ti.interA.pv,ti.interB.pv,ti.interC.pv,ti.interD.pv,ti.interE.pv,edfMin,edfMinSource,FstatFlag,sa.sig.inc,sa.sig.dec,por.diffType,por.bl.mn,por.cr.mn,por.bl.mn.obs,por.cr.mn.obs,por.abs.chg,por.abs.chg.obs,por.pct.chg,por.diff.se,por.chg.pv,aic,rmse,adjR2,periodName,seasonName,periodStart,periodEnd,seasonMonths,gamDiff.diffType,gamDiff.bl.mn,gamDiff.cr.mn,gamDiff.bl.mn.obs,gamDiff.cr.mn.obs,gamDiff.abs.chg,gamDiff.abs.chg.obs,gamDiff.pct.chg,gamDiff.diff.se,gamDiff.chg.pval
GAM2,CB1.1,do,B,39.54794,-76.08481,CB1TF,MD,Chesapeake Bay Mainstem (CB1TF),Dissolved Oxygen [mg/L],526,1985-2017,1985,2017,33,NA-NA,0,1,0,0,0.1,do,FALSE,2,2-Non-linear trend with Seas+Int,TRUE,22,,NA,NA,NA,NA,TRUE,0.424441156,0.056016979,NA,,,NA,,,NA,,,NA,,,0,,0,0,0,,,,,,,,,,0.94,"ti(cyear,doy)",,11/1985-03/1986 06/1986-03/1987 07/1987-02/1988 07/1988-12/1988 08/1989-12/1989 10/1991-12/1991 09/1992-12/1992 11/1993-11/1993 10/1994-12/1994 07/1995-02/1996 08/1996-12/1996 09/1999-12/1999 09/2000-12/2000 09/2001-12/2001 07/2002-02/2003 08/2003-12/2003 08/2006-12/2006 09/2007-12/2007 10/2008-12/2008 08/2009-02/2010 07/2010-12/2010 09/2011-12/2011 09/2012-12/2012 09/2013-12/2013 11/2016-11/2016,03/1990-07/1990 01/1991-07/1991 03/1992-06/1992 03/1993-07/1993 03/1994-06/1994 03/1997-08/1997 12/1997-08/1998 01/1999-01/1999 02/1999-06/1999 04/2000-06/2000 04/2001-06/2001 03/2004-08/2004 12/2004-08/2005 04/2006-06/2006 03/2008-06/2008 03/2012-06/2012 05/2013-05/2013 04/2014-07/2014 01/2015-08/2015 01/2016-07/2016,regular,9.165814411,9.945129551,9.165814411,9.945129551,0.77931514,0.77931514,8.502410203,0.226989387,0.000643453,1322.12,0.8286,0.888,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,6.22882154,7.063683828,6.22882154,7.063683828,0.834862288,0.834862288,13.40321412,0.231093664,0.000332208
GAM2,CB2.1,do,B,39.44149,-76.02599,CB1TF,MD,Chesapeake Bay Mainstem (CB1TF),Dissolved Oxygen [mg/L],533,1985-2017,1985,2017,33,NA-NA,0,1,0,0,0.1,do,FALSE,2,2-Non-linear trend with Seas+Int,TRUE,22,,NA,NA,NA,NA,TRUE,0.881663,0.001280307,NA,,,NA,,,NA,,,NA,,,0,,0,0,0,,,,,,,,,,1,cyear,,11/1985-01/1987 09/1987-12/1987 07/1988-03/1989 07/1989-12/1989 07/1992-03/1993 09/1993-10/1993 08/1995-04/1996 06/1996-12/1996 08/1999-02/2000 07/2002-01/2004 08/2006-12/2006 11/2008-12/2008 07/2009-02/2010 09/2010-10/2010 08/2012-03/2013 07/2013-02/2014 09/2016-02/2017,03/1990-09/1991 02/1994-08/1994 03/1995-04/1995 03/1997-10/1998 03/1999-04/1999 03/2001-07/2001 04/2004-09/2004 10/2004-08/2005 03/2008-06/2008 03/2011-08/2011 02/2012-06/2012 05/2014-06/2014 12/2014-09/2015 12/2015-06/2016,regular,9.198010235,9.787300835,9.198010235,9.787300835,0.5892906,0.5892906,6.406718249,0.228687429,0.010239158,1365.03,0.845,0.8853,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,6.365766019,6.962759762,6.365766019,6.962759762,0.596993744,0.596993744,9.378191753,0.232404539,0.010477595
GAM2,CB2.2,do,B,39.34873,-76.17579,CB2OH,MD,Chesapeake Bay Mainstem (CB2OH),Dissolved Oxygen [mg/L],537,1985-2017,1985,2017,33,NA-NA,0.001862197,0.998137803,0,0,0.1,do,FALSE,2,2-Non-linear trend with Seas+Int,FALSE,22,,NA,NA,NA,NA,TRUE,0.422085912,0.351400058,NA,,,NA,,,NA,,,NA,,,0,,0,0,0,,,,,,,,,,1,cyear,,11/1985-12/1985 08/1986-12/1986 09/1987-12/1987 07/1988-01/1989 10/1991-04/1993 09/1995-01/1997 09/2002-03/2004 08/2009-02/2011 09/2013-02/2014 06/2014-12/2014,12/1989-06/1991 01/1994-01/1995 02/1995-04/1995 11/1997-05/1999 03/2001-08/2001 02/2002-05/2002 01/2005-09/2005 11/2005-05/2006 02/2008-07/2008 01/2012-08/2012 02/2016-07/2016,regular,7.677535642,8.521707605,7.677535642,8.521707605,0.844171962,0.844171962,10.99535061,0.404358567,0.037298151,1987.22,1.4957,0.6837,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,5.08056285,5.824094164,5.08056285,5.824094164,0.743531314,0.743531314,14.63482169,0.423951914,0.080034496
GAM2,CB3.1,do,B,39.2495,-76.2405,CB2OH,MD,Chesapeake Bay Mainstem (CB2OH),Dissolved Oxygen [mg/L],541,1985-2017,1985,2017,33,NA-NA,0,1,0,0,0.05,do,FALSE,2,2-Non-linear trend with Seas+Int,TRUE,22,,NA,NA,NA,NA,TRUE,0.012718009,0.687687347,NA,,,NA,,,NA,,,NA,,,1,,0,0,0,,,,,,,,,,1,cyear,,11/1985-12/1985 09/1986-12/1986 08/1987-12/1987 08/1988-12/1988 08/1989-12/1989 09/1990-12/1990 08/1991-12/1991 08/1992-12/1992 08/1993-12/1993 09/1994-12/1994 08/1995-12/1995 08/1996-11/1996 08/1997-12/1997 08/1998-11/1998 08/1999-12/1999 08/2000-11/2000 08/2001-12/2001 08/2002-11/2002 08/2003-12/2003 08/2004-11/2004 08/2005-12/2005 08/2006-11/2006 08/2007-12/2007 08/2008-12/2008 08/2009-12/2009 07/2010-12/2010 07/2011-12/2011 07/2012-12/2012 08/2013-12/2013 07/2014-12/2014 08/2015-12/2015 08/2016-12/2016,02/1986-07/1986 02/1987-07/1987 02/1988-07/1988 02/1989-07/1989 02/1990-07/1990 02/1991-07/1991 02/1992-07/1992 02/1993-07/1993 02/1994-07/1994 02/1995-07/1995 02/1996-07/1996 02/1997-07/1997 02/1998-07/1998 02/1999-07/1999 02/2000-07/2000 02/2001-07/2001 02/2002-07/2002 02/2003-07/2003 02/2004-06/2004 02/2005-06/2005 02/2006-06/2006 02/2007-06/2007 02/2008-06/2008 02/2009-06/2009 02/2010-06/2010 02/2011-06/2011 02/2012-06/2012 02/2013-06/2013 02/2014-06/2014 02/2015-06/2015 02/2016-06/2016 02/2017-06/2017,regular,6.281819703,6.180025465,6.281819703,6.180025465,-0.101794239,-0.101794239,-1.620457819,0.278300846,0.714679577,2070.17,1.6169,0.7072,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,3.101327345,2.944749976,3.101327345,2.944749976,-0.156577369,-0.156577369,-5.048721133,0.337710976,0.643090284
GAM2,CB3.2,do,B,39.16369,-76.30631,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],546,1985-2017,1985,2017,33,NA-NA,0.007326007,0.992673993,0,0,0.05,do,FALSE,2,2-Non-linear trend with Seas+Int,FALSE,22,,NA,NA,NA,NA,TRUE,0.119634985,0.460737922,NA,,,NA,,,NA,,,NA,,,0,,0,0,0,,,,,,,,,,1,cyear,,11/1985-12/1985 08/1986-01/1987 01/1987-01/1987 08/1987-12/1987 09/1988-11/1988 09/1989-11/1989 09/1990-11/1990 09/1991-11/1991 09/1992-11/1992 10/1993-11/1993 10/1994-10/1994 09/1995-11/1995 09/1996-11/1996 08/1997-12/1997 08/1998-12/1998 08/1999-12/1999 08/2000-11/2000 09/2001-11/2001 09/2002-11/2002 09/2003-11/2003 09/2004-11/2004 09/2005-11/2005 08/2006-11/2006 08/2007-11/2007 08/2008-11/2008 08/2009-11/2009 08/2010-11/2010 08/2011-12/2011 08/2012-11/2012 08/2013-11/2013 08/2014-12/2014 08/2015-11/2015 08/2016-11/2016,03/1988-05/1988 03/1989-07/1989 02/1990-07/1990 02/1991-07/1991 02/1992-07/1992 02/1993-08/1993 01/1994-08/1994 12/1994-01/1995 02/1995-08/1995 02/1996-06/1996 03/1997-04/1997 03/1998-04/1998 03/2000-04/2000 03/2001-05/2001 02/2002-06/2002 02/2003-07/2003 01/2004-01/2004 02/2004-06/2004 02/2005-05/2005 03/2006-05/2006 02/2007-05/2007 03/2008-05/2008 02/2009-05/2009 03/2010-05/2010 02/2011-05/2011 02/2012-05/2012 03/2013-04/2013 03/2014-04/2014 03/2015-04/2015 02/2016-05/2016 03/2017-04/2017,regular,5.263602942,5.671076787,5.263602942,5.671076787,0.407473844,0.407473844,7.741348438,0.395099177,0.302848039,2099.23,1.6211,0.7479,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,1.832558313,1.825656487,1.832558313,1.825656487,-0.006901826,-0.006901826,-0.376622443,0.44214582,0.987551367
GAM2,CB3.3C,do,B,38.99596,-76.35967,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],554,1985-2017,1985,2017,33,NA-NA,0.023465704,0.976534296,0,0,0.05,do,FALSE,2,2-Non-linear trend with Seas+Int,FALSE,22,,NA,NA,NA,NA,TRUE,0.032618233,0.917672076,NA,,,NA,,,NA,,,NA,,,1,,0,0,0,,,,,,,,,,1,cyear,,09/1986-12/1986 08/1987-12/1987 09/1988-11/1988 10/1990-10/1990 08/1991-02/1992 08/1992-11/1992 09/1994-11/1994 09/1995-11/1995 09/1997-11/1997 08/1998-12/1998 09/1999-11/1999 09/2000-11/2000 08/2001-12/2001 09/2002-10/2002 10/2004-10/2004 09/2005-11/2005 08/2006-11/2006 08/2007-12/2007 08/2008-11/2008 10/2009-10/2009 09/2011-11/2011 08/2012-03/2013 05/2013-03/2014 07/2014-12/2014 09/2015-11/2015 10/2016-10/2016,04/1988-04/1988 03/1989-08/1989 11/1989-08/1990 02/1993-08/1993 12/1993-06/1994 07/1994-07/1994 03/1996-07/1996 03/1997-05/1997 03/2000-05/2000 02/2003-08/2003 12/2003-07/2004 03/2005-04/2005 04/2009-04/2009 01/2010-08/2010 12/2010-08/2011 03/2012-04/2012 04/2015-05/2015 02/2016-07/2016 04/2017-04/2017,regular,4.22651011,4.953256162,4.22651011,4.953256162,0.726746052,0.726746052,17.19494413,0.311145423,0.019862799,1801.43,1.1959,0.8797,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,0.178651038,0.930988821,0.178651038,0.930988821,0.752337783,0.752337783,421.1214176,0.331722044,0.023715508
GAM2,CB3.3E,do,B,39.00412,-76.34517,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],428,1985-2017,1985,2017,33,NA-NA,0,1,0,0,0.1,do,FALSE,2,2-Non-linear trend with Seas+Int,TRUE,22,,NA,NA,NA,NA,TRUE,0.066208054,0.254368769,NA,,,NA,,,NA,,,NA,,,0,,0,0,0,,,,,,,,,,1,cyear,,11/1985-12/1985 09/1986-12/1986 08/1987-12/1987 09/1988-12/1988 09/1989-12/1989 09/1990-11/1990 08/1991-12/1991 08/1992-11/1992 08/1993-12/1993 08/1994-11/1994 08/1995-12/1995 08/1996-11/1996 08/1997-11/1997 08/1998-11/1998 08/1999-11/1999 08/2000-11/2000 08/2001-11/2001 08/2002-11/2002 08/2003-12/2003 08/2004-11/2004 08/2005-12/2005 08/2006-11/2006 08/2007-12/2007 08/2008-12/2008 08/2009-12/2009 08/2010-12/2010 08/2011-12/2011 08/2012-12/2012 08/2013-12/2013 08/2014-12/2014 08/2015-12/2015 08/2016-12/2016,04/1986-06/1986 04/1987-06/1987 04/1988-06/1988 04/1989-06/1989 04/1990-06/1990 03/1991-07/1991 03/1992-07/1992 03/1993-07/1993 03/1994-07/1994 02/1995-07/1995 02/1996-07/1996 02/1997-07/1997 02/1998-07/1998 02/1999-07/1999 02/2000-07/2000 02/2001-07/2001 02/2002-07/2002 02/2003-07/2003 02/2004-07/2004 02/2005-06/2005 02/2006-06/2006 02/2007-06/2007 02/2008-06/2008 02/2009-06/2009 02/2010-06/2010 02/2011-06/2011 02/2012-06/2012 03/2013-06/2013 02/2014-06/2014 03/2015-06/2015 02/2016-06/2016 03/2017-05/2017,regular,6.773461206,7.618550668,6.773461206,7.618550668,0.845089462,0.845089462,12.47647896,0.446879838,0.059289118,1739.68,1.817,0.5464,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,3.683179345,4.359761334,3.683179345,4.359761334,0.676581989,0.676581989,18.36950974,0.415074253,0.103833318
GAM2,CB3.3W,do,B,39.00462,-76.3881,CB3MH,MD,Chesapeake Bay Mainstem (CB3MH),Dissolved Oxygen [mg/L],428,1985-2017,1985,2017,33,NA-NA,0,1,0,0,0.05,do,FALSE,2,2-Non-linear trend with Seas+Int,TRUE,22,,NA,NA,NA,NA,TRUE,0.018530053,0.923183604,NA,,,NA,,,NA,,,NA,,,1,,1,0,0,,,,,,,,,,0,s(cyear),,11/1985-01/1986 09/1986-12/1986 09/1987-12/1987 09/1988-12/1988 09/1989-12/1989 09/1990-11/1990 09/1991-12/1991 09/1992-11/1992 09/1993-11/1993 09/1994-11/1994 09/1995-11/1995 08/1996-11/1996 09/1997-11/1997 08/1998-11/1998 09/1999-11/1999 08/2000-11/2000 08/2001-11/2001 08/2002-11/2002 08/2003-11/2003 08/2004-11/2004 08/2005-12/2005 08/2006-11/2006 08/2007-12/2007 08/2008-11/2008 08/2009-11/2009 08/2010-12/2010 08/2011-11/2011 08/2012-12/2012 08/2013-12/2013 08/2014-12/2014 08/2015-12/2015 08/2016-12/2016,03/1986-07/1986 03/1987-07/1987 03/1988-07/1988 03/1989-07/1989 03/1990-07/1990 03/1991-07/1991 03/1992-07/1992 03/1993-07/1993 03/1994-07/1994 03/1995-07/1995 03/1996-07/1996 02/1997-06/1997 03/1998-06/1998 02/1999-06/1999 02/2000-06/2000 02/2001-06/2001 02/2002-06/2002 02/2003-06/2003 02/2004-06/2004 02/2005-06/2005 02/2006-06/2006 02/2007-06/2007 02/2008-06/2008 02/2009-06/2009 02/2010-06/2010 02/2011-06/2011 02/2012-06/2012 02/2013-06/2013 02/2014-06/2014 02/2015-06/2015 02/2016-06/2016 02/2017-05/2017,regular,6.216065242,6.680494351,6.216065242,6.680494351,0.464429109,0.464429109,7.471432351,0.452091843,0.304865838,1786,1.9197,0.5158,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,2.767281535,3.451045629,2.767281535,3.451045629,0.683764094,0.683764094,24.70887351,0.390407863,0.080593331
GAM2,CB4.1C,do,B,38.82593,-76.39945,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],551,1985-2017,1985,2017,33,NA-NA,0.032667877,0.967332123,0,0,0.05,do,FALSE,2,2-Non-linear trend with Seas+Int,FALSE,22,,NA,NA,NA,NA,TRUE,-0.004642891,0.84813157,NA,,,NA,,,NA,,,NA,,,1,,0,0,0,,,,,,,,,,1,cyear,,11/1985-12/1985 09/1986-12/1986 08/1987-12/1987 09/1988-12/1988 08/1989-12/1989 09/1990-12/1990 08/1991-12/1991 08/1992-12/1992 08/1993-12/1993 08/1994-12/1994 08/1995-12/1995 08/1996-12/1996 08/1997-12/1997 08/1998-12/1998 08/1999-12/1999 08/2000-12/2000 08/2001-12/2001 08/2002-12/2002 08/2003-12/2003 08/2004-12/2004 08/2005-12/2005 08/2006-12/2006 08/2007-12/2007 08/2008-12/2008 08/2009-12/2009 08/2010-12/2010 08/2011-12/2011 08/2012-12/2012 08/2013-12/2013 08/2014-12/2014 08/2015-12/2015 08/2016-12/2016,03/1986-08/1986 03/1987-08/1987 03/1988-08/1988 02/1989-08/1989 03/1990-08/1990 02/1991-08/1991 02/1992-08/1992 02/1993-08/1993 02/1994-08/1994 02/1995-08/1995 02/1996-07/1996 02/1997-08/1997 02/1998-07/1998 02/1999-08/1999 02/2000-07/2000 02/2001-07/2001 03/2002-07/2002 02/2003-07/2003 03/2004-07/2004 02/2005-07/2005 03/2006-07/2006 02/2007-07/2007 02/2008-07/2008 03/2009-07/2009 02/2010-07/2010 03/2011-07/2011 02/2012-07/2012 03/2013-06/2013 07/2013-07/2013 03/2014-07/2014 03/2015-06/2015 03/2016-07/2016 03/2017-06/2017,regular,4.399669646,4.842373513,4.399669646,4.842373513,0.442703867,0.442703867,10.06220701,0.200305164,0.027505937,1734.88,1.1513,0.8913,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,0.303034951,0.797688917,0.303034951,0.797688917,0.494653966,0.494653966,163.2333054,0.241611666,0.041102221
GAM2,CB4.1E,do,B,38.81809,-76.37144,CB4MH,MD,Chesapeake Bay Mainstem (CB4MH),Dissolved Oxygen [mg/L],424,1985-2017,1985,2017,33,NA-NA,0.028301887,0.971698113,0,0,0.05,do,FALSE,2,2-Non-linear trend with Seas+Int,FALSE,22,,NA,NA,NA,NA,TRUE,-0.030143159,0.210177335,NA,,,NA,,,NA,,,NA,,,0,,0,0,0,,,,,,,,,,1,cyear,,11/1985-12/1985 09/1986-12/1986 08/1987-12/1987 09/1988-12/1988 09/1989-12/1989 09/1990-12/1990 09/1991-12/1991 08/1992-12/1992 09/1993-12/1993 08/1994-12/1994 09/1995-12/1995 08/1996-12/1996 09/1997-12/1997 08/1998-12/1998 09/1999-12/1999 08/2000-12/2000 09/2001-12/2001 08/2002-12/2002 08/2003-12/2003 08/2004-12/2004 08/2005-12/2005 08/2006-12/2006 08/2007-12/2007 08/2008-12/2008 08/2009-12/2009 08/2010-12/2010 08/2011-12/2011 08/2012-12/2012 08/2013-12/2013 08/2014-12/2014 08/2015-12/2015 08/2016-12/2016,03/1986-07/1986 03/1987-07/1987 03/1988-07/1988 02/1989-07/1989 03/1990-07/1990 02/1991-07/1991 03/1992-07/1992 02/1993-07/1993 03/1994-07/1994 02/1995-07/1995 03/1996-07/1996 02/1997-07/1997 03/1998-07/1998 02/1999-07/1999 03/2000-07/2000 02/2001-07/2001 03/2002-07/2002 02/2003-07/2003 03/2004-07/2004 03/2005-07/2005 03/2006-07/2006 03/2007-07/2007 02/2008-07/2008 03/2009-07/2009 02/2010-07/2010 03/2011-06/2011 07/2011-07/2011 02/2012-07/2012 03/2013-06/2013 03/2014-06/2014 03/2015-06/2015 03/2016-07/2016 03/2017-05/2017,regular,4.790771615,4.942372247,4.790771615,4.942372247,0.151600632,0.151600632,3.164430373,0.260363825,0.560698695,1361.87,1.1853,0.8439,Full Record,Summer1,1985 1986,2016 2017,6 7 8 9,regular,0.525803007,0.785352627,0.525803007,0.785352627,0.25954962,0.25954962,49.36252096,0.245379506,0.290774133
