"station","dep","layer","latitude","longitude","cbSeg92","gamOption","hydroTermSel","hydroTermSel_var","usgsGageID","aic","rmse","adjR2","periodName","seasonName","seasonMonths","periodStart","periodEnd","gamDiff_bl_mn","gamDiff_cr_mn","gamDiff_bl_mn_obs","gamDiff_cr_mn_obs","gamDiff_abs_chg","gamDiff_abs_chg_obs","gamDiff_pct_chg","gamDiff_diff_se","gamDiff_chg_pval","significance","direction","level","map_code"
"CB1.1","tp","S",39.54794,-76.08481,"CB1TF",2,NA,NA,NA,358.98,0.3419,0.1833,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.182631936,-3.374095748,0.041476348,0.034249074,-0.191463813,-0.007227274,-17.42504938,0.100059682,0.056287898,"poss","decr","0-50","poss_decr_0-50"
"CB2.1","tp","S",39.44149,-76.02599,"CB1TF",2,NA,NA,NA,332.58,0.3272,0.1547,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.832381214,-3.23673705,0.058872499,0.039291894,-0.404355837,-0.019580605,-33.25934088,0.094534615,0.00002266,"sig","decr","0-50","sig_decr_0-50"
"CB2.2","tp","SAP",39.34873,-76.17579,"CB2OH",2,NA,NA,NA,87.36,0.2548,0.1976,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.785982416,-3.081048966,0.061668475,0.045911072,-0.295066551,-0.015757403,-25.55179599,0.069682145,0.0000270679,"sig","decr","0-50","sig_decr_0-50"
"CB3.1","tp","SAP",39.2495,-76.2405,"CB2OH",2,NA,NA,NA,31.27,0.2421,0.2768,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.830201513,-3.089970914,0.059000963,0.045503278,-0.259769402,-0.013497685,-22.87705904,0.065831262,0.0000902803,"sig","decr","0-50","sig_decr_0-50"
"CB3.2","tp","SAP",39.16369,-76.30631,"CB3MH",2,NA,NA,NA,102.71,0.2589,0.3312,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.057389708,-3.212560483,0.047010246,0.040253413,-0.155170775,-0.006756833,-14.37310646,0.069097708,0.025136306,"sig","decr","0-50","sig_decr_0-50"
"CB3.3C","tp","SAP",38.99596,-76.35967,"CB3MH",2,NA,NA,NA,170.83,0.2766,0.4144,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.26473992,-3.334356419,0.038206871,0.035637514,-0.069616498,-0.002569356,-6.72485369,0.072857337,0.33974574,"NS","decr","0-50","NS"
"CB4.1C","tp","SAP",38.82593,-76.39945,"CB4MH",2,NA,NA,NA,110.16,0.261,0.4386,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.514345607,-3.445160503,0.029767276,0.031899642,0.069185104,0.002132366,7.163455423,0.06893429,0.316007477,"NS","incr","0-50","NS"
"CB4.2C","tp","SAP",38.64618,-76.42126,"CB4MH",2,NA,NA,NA,-52.66,0.2237,0.5555,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.751796273,-3.644089829,0.023475539,0.026145196,0.107706444,0.002669656,11.37207578,0.05950482,0.070850714,"poss","incr","0-50","poss_incr_0-50"
"CB4.3C","tp","SAP",38.55505,-76.42794,"CB4MH",2,NA,NA,NA,-106.98,0.2128,0.606,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.804511748,-3.676867377,0.022270068,0.025302113,0.12764437,0.003032045,13.61488824,0.057040748,0.025643455,"sig","incr","0-50","sig_incr_0-50"
"CB4.4","tp","SAP",38.41457,-76.34565,"CB4MH",2,NA,NA,NA,-89.87,0.2162,0.6547,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.805692213,-3.665404921,0.022243794,0.025593806,0.140287292,0.003350011,15.06043108,0.057431303,0.01489921,"sig","incr","0-50","sig_incr_0-50"
"CB5.1","tp","SAP",38.3187,-76.29214,"CB5MH_MD",2,NA,NA,NA,-85.91,0.2173,0.6317,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.83425287,-3.713485893,0.021617484,0.024392346,0.120766977,0.002774862,12.83619471,0.058162682,0.038334367,"sig","incr","0-50","sig_incr_0-50"
"CB5.1W","tp","SAP",38.32522,-76.37574,"CB5MH_MD",2,NA,NA,NA,95.47,0.2565,0.6293,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.993317527,-3.615029334,0.050120883,0.026916136,-0.621711807,-0.023204748,-46.29756317,0.066400219,1.7e-19,"sig","decr","0-50","sig_decr_0-50"
"CB5.2","tp","SAP",38.13705,-76.22787,"CB5MH_MD",2,NA,NA,NA,-176.84,0.1991,0.6816,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.928932798,-3.752424539,0.019664648,0.023460795,0.176508259,0.003796148,19.30442805,0.053384203,0.001008411,"sig","incr","0-50","sig_incr_0-50"
"CB5.3","tp","SAP",37.91011,-76.17137,"CB5MH_MD",2,NA,NA,NA,-219.13,0.1887,0.7217,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.693369133,-3.739578952,0.02488801,0.023764107,-0.04620982,-0.001123903,-4.515840361,0.053714017,0.390033896,"NS","decr","0-50","NS"
"EE1.1","tp","SAP",38.88,-76.2515,"EASMH",2,NA,NA,NA,361.77,0.341,0.4791,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.010736934,-3.423752569,0.049255367,0.032589909,-0.413015635,-0.016665458,-33.83480621,0.086826654,0.00000259413,"sig","decr","0-50","sig_decr_0-50"
"EE2.1","tp","SAP",38.6549,-76.2643,"CHOMH1",2,NA,NA,NA,309.69,0.3238,0.436,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.00063047,-3.585053058,0.049755689,0.027735196,-0.584422588,-0.022020493,-44.25723658,0.084538807,1.51e-11,"sig","decr","0-50","sig_decr_0-50"
"EE2.2","tp","S",38.52609,-76.30408,"LCHMH",2,NA,NA,NA,340.57,0.3414,0.3731,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-3.289111672,-3.669326996,0.037286958,0.025493621,-0.380215324,-0.011793336,-31.62858269,0.090216744,0.0000301832,"sig","decr","0-50","sig_decr_0-50"
"EE3.0","tp","S",38.28093,-76.01033,"FSBMH",2,NA,NA,NA,232.38,0.3209,0.3192,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-3.015243955,-3.446067812,0.049033872,0.031870712,-0.430823857,-0.01716316,-35.00266109,0.097264776,0.000012516,"sig","decr","0-50","sig_decr_0-50"
"EE3.1","tp","SAP",38.19685,-75.97321,"TANMH_MD",2,NA,NA,NA,259.58,0.3089,0.4618,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.958104959,-3.504417019,0.051917209,0.030064295,-0.54631206,-0.021852914,-42.09185052,0.079745615,2.29e-11,"sig","decr","0-50","sig_decr_0-50"
"EE3.2","tp","SAP",37.98139,-75.92423,"TANMH_MD",2,NA,NA,NA,345.75,0.3485,0.2769,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-3.380065099,-3.63943383,0.034045238,0.026267211,-0.259368731,-0.007778027,-22.84615198,0.09225859,0.005153232,"sig","decr","0-50","sig_decr_0-50"
"EE3.3","tp","S",37.91455,-75.80148,"POCMH_MD",2,NA,NA,NA,305.51,0.3444,0.2962,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-3.199708439,-3.422947451,0.04077409,0.032616159,-0.223239012,-0.008157932,-20.00763652,0.088167226,0.01171769,"sig","decr","0-50","sig_decr_0-50"
"ET1.1","tp","S",39.56976,-75.96782,"NORTF",2,NA,NA,NA,353.2,0.4015,0.2027,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.595894538,-2.914958744,0.074579132,0.054206267,-0.319064205,-0.020372865,-27.31711183,0.072812109,0.000015713,"sig","decr","0-50","sig_decr_0-50"
"ET10.1","tp","S",38.07615,-75.57125,"POCTF",2,NA,NA,NA,152.9,0.291,0.4072,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-2.269252673,-2.156494292,0.103389417,0.115730127,0.11275838,0.01234071,11.93614405,0.068170022,0.098953364,"poss","incr","0-50","poss_incr_0-50"
"ET2.1","tp","S",39.5293,-75.81135,"C&DOH_MD",2,NA,NA,NA,501.96,0.4653,0.0971,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.056055183,-2.493984563,0.127957745,0.082580264,-0.43792938,-0.045377482,-35.46286428,0.165417181,0.008458495,"sig","decr","0-50","sig_decr_0-50"
"ET2.2","tp","S",39.46704,-75.87368,"BOHOH",2,NA,NA,NA,332.92,0.3692,0.2403,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.199024373,-2.467737778,0.110911314,0.084776425,-0.268713405,-0.026134888,-23.56377136,0.13177575,0.042143027,"sig","decr","0-50","sig_decr_0-50"
"ET2.3","tp","S",39.50873,-75.89783,"ELKOH",2,NA,NA,NA,404.47,0.4116,0.1024,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.203505948,-2.718464347,0.110415368,0.065975993,-0.514958399,-0.044439376,-40.24745481,0.157158041,0.001152159,"sig","decr","0-50","sig_decr_0-50"
"ET3.1","tp","S",39.36415,-75.88203,"SASOH",2,NA,NA,NA,143.75,0.2813,0.5712,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.226898836,-2.450760154,0.107862411,0.086228015,-0.223861319,-0.021634396,-20.05740079,0.121473546,0.066123014,"poss","decr","0-50","poss_decr_0-50"
"ET4.1","tp","S",39.2437,-75.9249,"CHSTF",2,NA,NA,NA,329.4,0.331,0.3804,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-1.617564763,-2.027390602,0.198381217,0.131678675,-0.409825838,-0.066702541,-33.62341573,0.083267573,0.00000117712,"sig","decr","0-50","sig_decr_0-50"
"ET4.2","tp","SAP",38.99233,-76.2151,"CHSMH",2,NA,NA,NA,330.66,0.3269,0.4815,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.844559129,-3.301588294,0.058159902,0.036824633,-0.457029165,-0.02133527,-36.68381264,0.082694848,0.0000000528026,"sig","decr","0-50","sig_decr_0-50"
"ET5.1","tp","S",38.80645,-75.90971,"CHOOH",2,NA,NA,NA,275.29,0.3037,0.1143,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-1.981915229,-2.115504919,0.137805056,0.120572395,-0.13358969,-0.017232661,-12.50510091,0.07792036,0.087011515,"poss","decr","0-50","poss_decr_0-50"
"ET5.2","tp","SAP",38.5807,-76.0587,"CHOMH2",2,NA,NA,NA,309.81,0.3099,0.495,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.733718064,-3.208200885,0.06497725,0.040429285,-0.474482821,-0.024547966,-37.77932344,0.078797878,0.00000000315805,"sig","decr","0-50","sig_decr_0-50"
"ET6.1","tp","S",38.54833,-75.70306,"NANTF_MD",2,NA,NA,NA,207.87,0.3125,0.272,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-2.533663413,-2.716595923,0.07936773,0.066099379,-0.182932511,-0.013268351,-16.71756393,0.077080001,0.018128817,"sig","decr","0-50","sig_decr_0-50"
"ET6.2","tp","S",38.34133,-75.88834,"NANMH",2,NA,NA,NA,227.13,0.3139,0.3218,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-2.545302367,-2.887939464,0.078449328,0.055690847,-0.342637097,-0.02275848,-29.01042117,0.090138744,0.000168472,"sig","decr","0-50","sig_decr_0-50"
"ET7.1","tp","S",38.26783,-75.78793,"WICMH",2,NA,NA,NA,126.5,0.274,0.4465,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-2.437455577,-3.02879963,0.087382908,0.04837367,-0.591344053,-0.039009238,-44.641726,0.07754718,2.01e-13,"sig","decr","0-50","sig_decr_0-50"
"ET8.1","tp","S",38.13794,-75.81411,"MANMH",2,NA,NA,NA,344.34,0.376,0.4061,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-2.929842942,-3.24193108,0.053405425,0.039088339,-0.312088138,-0.014317086,-26.80829843,0.105060212,0.003169275,"sig","decr","0-50","sig_decr_0-50"
"ET9.1","tp","S",38.055,-75.80167,"BIGMH",2,NA,NA,NA,233.69,0.3228,0.3743,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1986 1987","2017 2018",-3.296786166,-3.627447023,0.037001894,0.026583966,-0.330660857,-0.010417928,-28.15512156,0.091647565,0.00035114,"sig","decr","0-50","sig_decr_0-50"
"LE1.1","tp","SAP",38.42535,-76.60176,"PAXMH",2,NA,NA,NA,241.08,0.2883,0.6236,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.49592484,-2.918751469,0.082420191,0.054001067,-0.42282663,-0.028419123,-34.48077857,0.071939374,0.00000000696237,"sig","decr","0-50","sig_decr_0-50"
"LE1.2","tp","SAP",38.37887,-76.51132,"PAXMH",2,NA,NA,NA,188.72,0.2757,0.6394,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.761929989,-3.159919777,0.063169734,0.042429145,-0.397989788,-0.020740589,-32.83311132,0.068915679,0.0000000124131,"sig","decr","0-50","sig_decr_0-50"
"LE1.3","tp","SAP",38.3398,-76.4849,"PAXMH",2,NA,NA,NA,308.93,0.3067,0.58,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.832497885,-3.238624552,0.05886563,0.0392178,-0.406126667,-0.01964783,-33.37742267,0.077077267,0.000000192939,"sig","decr","0-50","sig_decr_0-50"
