"station","dep","layer","latitude","longitude","cbSeg92","gamOption","hydroTermSel","hydroTermSel_var","usgsGageID","aic","rmse","adjR2","periodName","seasonName","seasonMonths","periodStart","periodEnd","gamDiff_bl_mn","gamDiff_cr_mn","gamDiff_bl_mn_obs","gamDiff_cr_mn_obs","gamDiff_abs_chg","gamDiff_abs_chg_obs","gamDiff_pct_chg","gamDiff_diff_se","gamDiff_chg_pval","significance","direction","level","map_code"
"CB1.1","tp","S",39.54794,-76.08481,"CB1TF",4,"flow","d1",1578310,71.95,0.2517,0.5575,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.10729286,-3.524815351,0.04472186,0.029457246,-0.417522491,-0.015264614,-34.13233227,0.071118595,0.00000000817,"sig","decr","0-50","sig_decr_0-50"
"CB2.1","tp","S",39.44149,-76.02599,"CB1TF",4,"flow","d5",1578310,258.06,0.3033,0.2734,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.814912018,-3.263789908,0.05990999,0.038243185,-0.44887789,-0.021666805,-36.1655958,0.082957946,0.0000000973,"sig","decr","0-50","sig_decr_0-50"
"CB2.2","tp","SAP",39.34873,-76.17579,"CB2OH",4,"flow","d10",1578310,-11.43,0.2274,0.3608,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.781242639,-3.192526835,0.061961464,0.041067968,-0.411284196,-0.020893496,-33.72014601,0.064291794,3.52e-10,"sig","decr","0-50","sig_decr_0-50"
"CB3.1","tp","SAP",39.2495,-76.2405,"CB2OH",4,"flow","d10",1578310,-30.13,0.2257,0.3716,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-2.833926602,-3.136799973,0.058781588,0.043421526,-0.302873371,-0.015360062,-26.13073697,0.063269852,0.0000022,"sig","decr","0-50","sig_decr_0-50"
"CB3.2","tp","SAP",39.16369,-76.30631,"CB3MH",4,"salinity","SAP",1578310,35.12,0.2389,0.4318,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.065455446,-3.205528161,0.046632598,0.040537486,-0.140072715,-0.006095113,-13.07049779,0.066364945,0.035271701,"sig","decr","0-50","sig_decr_0-50"
"CB3.3C","tp","SAP",38.99596,-76.35967,"CB3MH",4,"salinity","SAP",1578310,111.05,0.2609,0.4789,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.256942198,-3.357509036,0.038505962,0.034821891,-0.100566838,-0.003684071,-9.567533244,0.069888779,0.15074575,"poss","decr","0-50","poss_decr_0-50"
"CB4.1C","tp","SAP",38.82593,-76.39945,"CB4MH",4,"salinity","SAP",1578310,38.61,0.2414,0.5197,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.51754009,-3.464430803,0.029672337,0.031290811,0.053109287,0.001618474,5.454488701,0.070752399,0.453202467,"NS","incr","0-50","NS"
"CB4.2C","tp","SAP",38.64618,-76.42126,"CB4MH",4,"flow","d10",1578310,-100.85,0.2121,0.6003,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.763517354,-3.649435169,0.023201987,0.026005814,0.114082185,0.002803826,12.08442374,0.058120673,0.050182254,"poss","incr","0-50","poss_incr_0-50"
"CB4.3C","tp","SAP",38.55505,-76.42794,"CB4MH",4,"salinity","SAP",1578310,-167.86,0.1989,0.6555,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.766209832,-3.696319184,0.0231396,0.024814697,0.069890649,0.001675097,7.239090754,0.063824847,0.273988948,"NS","incr","0-50","NS"
"CB4.4","tp","SAP",38.41457,-76.34565,"CB4MH",4,"salinity","SAP",1578310,-147.71,0.2022,0.6979,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.849089658,-3.759057019,0.021299117,0.023305707,0.090032639,0.00200659,9.420999664,0.070034788,0.199157168,"poss","incr","0-50","poss_incr_0-50"
"CB5.1","tp","SAP",38.3187,-76.29214,"CB5MH_MD",4,"salinity","SAP",1578310,-97.56,0.2108,0.6531,"Full Record","All","1 2 3 4 5 6 7 8 9 10 11 12","1985 1986","2017 2018",-3.75033937,-3.779365772,0.023509766,0.022837171,-0.029026402,-0.000672595,-2.860918226,0.077959033,0.709794596,"NS","decr","0-50","NS"
