"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.029301022,0.028756904,-0.000544119,-1.856995635,0.846176835,"tp","TP|Bottom|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.031077245,0.026692601,-0.004384644,-14.10885589,0.110400238,"tp","TP|Surface|Annual"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.060523944,0.045766237,-0.014757707,-24.38325436,0.001613367,"tp","TP|Bottom|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.04686235,0.037065655,-0.009796695,-20.90525801,0.002779098,"tp","TP|Surface|Annual"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.075456501,0.068786353,-0.006670148,-8.83972653,0.315970795,"tp","TP|Bottom|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.051962567,0.044667019,-0.007295548,-14.04000756,0.018292755,"tp","TP|Surface|Annual"
"CB3.1","Bottom",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.072559774,0.067174564,-0.00538521,-7.421756775,0.354220279,"tp","TP|Bottom|Annual"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.051371784,0.046351354,-0.00502043,-9.772737677,0.084627232,"tp","TP|Surface|Annual"
"CB3.2","Bottom",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.062776335,0.054752893,-0.008023442,-12.78099817,0.070314544,"tp","TP|Bottom|Annual"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.045551601,0.043246209,-0.002305392,-5.061055971,0.424877341,"tp","TP|Surface|Annual"
"CB3.3C","Bottom",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.055042122,0.051995847,-0.003046274,-5.534442193,0.430807976,"tp","TP|Bottom|Annual"
"CB3.3C","Surface",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.037788074,0.036911475,-0.0008766,-2.31977825,0.722640585,"tp","TP|Surface|Annual"
"CB4.1C","Bottom",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.047628086,0.04785447,0.000226383,0.475314367,0.950366492,"tp","TP|Bottom|Annual"
"CB4.1C","Surface",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.032301943,0.031167953,-0.001133991,-3.510595696,0.577642951,"tp","TP|Surface|Annual"
"CB4.2C","Bottom",38.64618,-76.42126,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.041811647,0.041070131,-0.000741515,-1.773465761,0.804667078,"tp","TP|Bottom|Annual"
"CB4.2C","Surface",38.64618,-76.42126,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.02704704,0.026622239,-0.000424801,-1.570601339,0.777097584,"tp","TP|Surface|Annual"
"CB4.3C","Bottom",38.55505,-76.42794,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.041824958,0.039433477,-0.002391481,-5.717832431,0.394120157,"tp","TP|Bottom|Annual"
"CB4.3C","Surface",38.55505,-76.42794,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.02640346,0.02539323,-0.001010229,-3.82612512,0.461241295,"tp","TP|Surface|Annual"
"CB4.4","Bottom",38.41457,-76.34565,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.042407205,0.040715395,-0.001691811,-3.989441305,0.606626307,"tp","TP|Bottom|Annual"
"CB4.4","Surface",38.41457,-76.34565,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.026048201,0.025358687,-0.000689514,-2.647070211,0.622095012,"tp","TP|Surface|Annual"
"CB5.1","Bottom",38.3187,-76.29214,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.03975311,0.038480634,-0.001272476,-3.200946367,0.644942723,"tp","TP|Bottom|Annual"
"CB5.1","Surface",38.3187,-76.29214,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"2011/12-2019/20","Annual",0.02502695,0.023582587,-0.001444363,-5.77123243,0.273915803,"tp","TP|Surface|Annual"
