"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.043848431,0.028756904,-0.015091528,-34.41748583,4.93e-05,"tp","TP|Bottom|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.04351742,0.026692601,-0.016824819,-38.66226174,1.43e-06,"tp","TP|Surface|Annual"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.081725051,0.045766237,-0.035958814,-43.99974526,2.36e-08,"tp","TP|Bottom|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.059892564,0.037065655,-0.022826909,-38.11309328,3.59e-07,"tp","TP|Surface|Annual"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.098776738,0.068786353,-0.029990385,-30.36178943,0.00035418,"tp","TP|Bottom|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.061712498,0.044667019,-0.017045479,-27.62078914,5.14e-06,"tp","TP|Surface|Annual"
"CB3.1","Bottom",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.075543149,0.067174564,-0.008368585,-11.07788699,0.1842779,"tp","TP|Bottom|Annual"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.058974919,0.046351354,-0.012623565,-21.40497186,0.000230484,"tp","TP|Surface|Annual"
"CB3.2","Bottom",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.063161049,0.054752893,-0.008408155,-13.31224806,0.080083006,"tp","TP|Bottom|Annual"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.046928624,0.043246209,-0.003682415,-7.846842569,0.246924929,"tp","TP|Surface|Annual"
"CB3.3C","Bottom",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.04709091,0.051995847,0.004904937,10.41588949,0.22089086,"tp","TP|Bottom|Annual"
"CB3.3C","Surface",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.038333242,0.036911475,-0.001421767,-3.708966072,0.611200012,"tp","TP|Surface|Annual"
"CB4.1C","Bottom",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Total Phosphorus [mg/L]","Non-Linear Trend",2,"Full Period","Annual",0.038890021,0.04785447,0.008964449,23.05076921,0.012195165,"tp","TP|Bottom|Annual"
