"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",1.210620674,1.043788878,-0.166831796,-13.78068289,0.03849928,"DIN|Surface|Annual"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",1.201724607,1.0333919,-0.168332708,-14.0075943,0.029031381,"DIN|Bottom|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",1.000042548,1.033580565,0.033538018,3.353659068,0.581380078,"DIN|Surface|Annual"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",1.041029261,1.048269534,0.007240273,0.695491821,0.898512565,"DIN|Bottom|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.906574632,0.882613995,-0.023960637,-2.64298558,0.644226949,"DIN|Surface|Annual"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.74273296,0.816262524,0.073529563,9.899865408,0.092281397,"DIN|Bottom|Annual"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.756169974,0.724623826,-0.031546148,-4.171832914,0.527969515,"DIN|Surface|Annual"
"CB3.1","Bottom",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.409341055,0.368708314,-0.040632741,-9.926378187,0.263351043,"DIN|Bottom|Annual"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.465982862,0.478884105,0.012901243,2.768608958,0.77766352,"DIN|Surface|Annual"
"CB3.2","Bottom",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.280108697,0.317399897,0.0372912,13.31311755,0.20893532,"DIN|Bottom|Annual"
"CB3.3C","Surface",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.232195139,0.256911013,0.024715874,10.64444089,0.492026185,"DIN|Surface|Annual"
"CB3.3C","Bottom",38.99596,-76.35967,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.207236246,0.225949371,0.018713125,9.029851151,0.282253835,"DIN|Bottom|Annual"
"CB4.1C","Surface",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.164873732,0.178367414,0.013493682,8.184252261,0.569212268,"DIN|Surface|Annual"
"CB4.1C","Bottom",38.82593,-76.39945,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.180598322,0.166656101,-0.01394222,-7.720016538,0.422229849,"DIN|Bottom|Annual"
"CB4.2C","Surface",38.64618,-76.42126,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.120220181,0.128489292,0.008269111,6.878304894,0.660444303,"DIN|Surface|Annual"
"CB4.2C","Bottom",38.64618,-76.42126,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.161090049,0.115968618,-0.045121431,-28.0100671,0.006099058,"DIN|Bottom|Annual"
"CB4.3C","Surface",38.55505,-76.42794,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.121997699,0.116411818,-0.005585881,-4.578677273,0.749219993,"DIN|Surface|Annual"
"CB4.3C","Bottom",38.55505,-76.42794,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.161177998,0.097510593,-0.063667406,-39.50130065,4.69e-05,"DIN|Bottom|Annual"
"CB4.4","Surface",38.41457,-76.34565,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.096891787,0.087682368,-0.009209419,-9.504850113,0.446344241,"DIN|Surface|Annual"
"CB4.4","Bottom",38.41457,-76.34565,"CB4MH","MD","Chesapeake Bay Mainstem (CB4MH)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.134110841,0.093505987,-0.040604854,-30.27708531,0.003149839,"DIN|Bottom|Annual"
"CB5.1","Surface",38.3187,-76.29214,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.077299684,0.05993998,-0.017359704,-22.45766487,0.086159672,"DIN|Surface|Annual"
"CB5.1","Bottom",38.3187,-76.29214,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.120609354,0.091238312,-0.029371042,-24.35220884,0.02824168,"DIN|Bottom|Annual"
"CB5.1W","Surface",38.32522,-76.37574,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.076205548,0.070693956,-0.005511592,-7.232534026,0.644959969,"DIN|Surface|Annual"
"CB5.1W","Bottom",38.32522,-76.37574,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.103012019,0.113742741,0.010730722,10.41696127,0.482683327,"DIN|Bottom|Annual"
"CB5.2","Surface",38.13705,-76.22787,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.072898055,0.060346299,-0.012551756,-17.21823115,0.156238342,"DIN|Surface|Annual"
"CB5.2","Bottom",38.13705,-76.22787,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.105370824,0.092944829,-0.012425995,-11.79263351,0.283761755,"DIN|Bottom|Annual"
"CB5.3","Surface",37.91011,-76.17137,"CB5MH_MD","MD","Chesapeake Bay Mainstem (CB5MHMD)","Dissolved Inorganic Nitrogen [mg/L]","Non-linear Trend with Flow Adjustment","1999-2000 to 2018-2019","Annual",0.055090774,0.036132003,-0.018958771,-34.41369455,0.006945007,"DIN|Surface|Annual"
