"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.008454589,0.006906841,-0.001547749,-18.30661261,0.121065434,"po4","PO4|Bottom|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.008049736,0.006645186,-0.001404551,-17.44840482,0.153865702,"po4","PO4|Surface|Annual"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.012994671,0.00981656,-0.003178111,-24.45703494,0.045533801,"po4","PO4|Bottom|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.010533872,0.008021935,-0.002511937,-23.84627978,0.065133993,"po4","PO4|Surface|Annual"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.015271448,0.011385565,-0.003885883,-25.44541493,0.003875563,"po4","PO4|Bottom|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.017414327,0.011968562,-0.005445765,-31.27175345,0.000619926,"po4","PO4|Surface|Annual"
"CB3.1","Bottom",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.011573571,0.0109572,-0.000616371,-5.325673118,0.648076094,"po4","PO4|Bottom|Annual"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.014266935,0.010633598,-0.003633338,-25.46684095,0.009969444,"po4","PO4|Surface|Annual"
"CB3.2","Bottom",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.009535404,0.008153626,-0.001381778,-14.49102615,0.238519756,"po4","PO4|Bottom|Annual"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Orthophosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"1999/00-2019/20","Annual",0.008155495,0.007220955,-0.00093454,-11.45901779,0.314407425,"po4","PO4|Surface|Annual"
