"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","gamOption","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","dep","mapLayer"
"CB1.1","Bottom",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.045657871,0.027286312,-0.018371559,-40.2374419,8.59e-14,"tp","TP|Bottom|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.045135619,0.025624624,-0.019510994,-43.22748816,6.71e-16,"tp","TP|Surface|Annual"
"CB2.1","Bottom",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.08233848,0.04457642,-0.03776206,-45.86198317,9.22e-11,"tp","TP|Bottom|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.060330478,0.035451066,-0.024879412,-41.23854569,6.65e-11,"tp","TP|Surface|Annual"
"CB2.2","Bottom",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.098369411,0.06777695,-0.030592461,-31.09956751,9.91e-05,"tp","TP|Bottom|Annual"
"CB2.2","Surface",39.34873,-76.17579,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.062326377,0.042518005,-0.019808372,-31.78168442,1.61e-09,"tp","TP|Surface|Annual"
"CB3.1","Bottom",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.075199992,0.063414709,-0.011785284,-15.67192151,0.056684721,"tp","TP|Bottom|Annual"
"CB3.1","Surface",39.2495,-76.2405,"CB2OH","MD","Chesapeake Bay Mainstem (CB2OH)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.05751885,0.044517905,-0.013000944,-22.60292853,1.82e-05,"tp","TP|Surface|Annual"
"CB3.2","Bottom",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.062554199,0.056015244,-0.006538956,-10.453264,0.209531492,"tp","TP|Bottom|Annual"
"CB3.2","Surface",39.16369,-76.30631,"CB3MH","MD","Chesapeake Bay Mainstem (CB3MH)","Total Phosphorus [mg/L]","Non-Linear Trend with Flow Adjustment",4,"Full Period","Annual",0.044726754,0.041097494,-0.00362926,-8.114292634,0.150311498,"tp","TP|Surface|Annual"
