"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",4.594684875,3.022128726,-1.572556149,-34.22554955,0.025077726,"CHLA|Surface|Jan-Dec"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",5.114460332,4.146245178,-0.968215154,-18.93093486,0.395426441,"CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",9.567934921,4.701555291,-4.86637963,-50.86133707,0.000442514,"CHLA|Surface|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",6.474464127,3.644640239,-2.829823887,-43.70746107,0.005191602,"CHLA|Surface|Jan-Dec"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",7.855378016,4.743689462,-3.111688555,-39.61220642,0.027678147,"CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",10.37829882,5.687167311,-4.691131506,-45.20135321,0.003861046,"CHLA|Surface|Jul-Sep"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",6.274782065,8.907030821,2.632248756,41.94964428,0.012123366,"CHLA|Surface|Jan-Dec"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",6.29969689,9.482970409,3.183273519,50.53058227,0.023847968,"CHLA|Surface|Mar-May"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",8.727739182,9.718957479,0.991218297,11.35710264,0.531452703,"CHLA|Surface|Jul-Sep"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",5.978539503,9.841607335,3.863067832,64.6155776,0.000156297,"CHLA|Surface|Jan-Dec"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",6.310427984,10.77144337,4.461015385,70.69275486,0.000528566,"CHLA|Surface|Mar-May"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",7.647242436,11.10651019,3.459267755,45.2354922,0.012508286,"CHLA|Surface|Jul-Sep"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",6.142488336,8.726083014,2.583594678,42.06104329,0.004583485,"CHLA|Surface|Jan-Dec"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",6.453684337,8.730325433,2.276641097,35.27661066,0.030837042,"CHLA|Surface|Mar-May"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",8.361386565,11.56292164,3.201535077,38.28952354,0.01672215,"CHLA|Surface|Jul-Sep"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",23.00901323,23.83756446,0.828551227,3.600985488,0.854053144,"CHLA|Surface|Jan-Dec"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",19.47669331,17.9367567,-1.539936605,-7.906560833,0.748910716,"CHLA|Surface|Mar-May"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",46.21049538,60.42207342,14.21157804,30.75400497,0.220866429,"CHLA|Surface|Jul-Sep"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",5.03339121,0.639050402,-4.394340807,-87.30378038,1.52e-15,"CHLA|Surface|Jan-Dec"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",3.48617431,0.718140466,-2.768033844,-79.40032821,5.76e-07,"CHLA|Surface|Mar-May"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",10.51227325,1.022747979,-9.489525275,-90.27091521,2.64e-13,"CHLA|Surface|Jul-Sep"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",7.145456155,3.743381614,-3.402074541,-47.61171949,0.006981934,"CHLA|Surface|Jan-Dec"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",10.51982613,5.456687653,-5.063138478,-48.12948822,0.022788933,"CHLA|Surface|Mar-May"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",8.128924734,4.296580015,-3.832344719,-47.14454672,0.01106011,"CHLA|Surface|Jul-Sep"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",27.80369357,27.80965168,0.005958109,0.021429201,0.999253192,"CHLA|Surface|Jan-Dec"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",32.82927331,32.47733191,-0.351941401,-1.072035307,0.96565215,"CHLA|Surface|Mar-May"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",39.3553821,39.74090359,0.385521488,0.979590256,0.964665806,"CHLA|Surface|Jul-Sep"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",8.837169214,3.805377618,-5.031791596,-56.93895267,0.001881296,"CHLA|Surface|Jan-Dec"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",12.54415065,5.437119569,-7.107031081,-56.65613623,0.011154985,"CHLA|Surface|Mar-May"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",10.34372504,4.628304718,-5.715420318,-55.25495214,0.003322336,"CHLA|Surface|Jul-Sep"
"ET3.1","Surface",39.36415,-75.88203,"SASOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",31.12639386,42.06529796,10.9389041,35.14349961,0.169679124,"CHLA|Surface|Jan-Dec"
"ET3.1","Surface",39.36415,-75.88203,"SASOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",27.29839132,37.90681933,10.60842801,38.8610006,0.170212476,"CHLA|Surface|Mar-May"
"ET3.1","Surface",39.36415,-75.88203,"SASOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",62.43594289,82.99985134,20.56390845,32.93601009,0.174241123,"CHLA|Surface|Jul-Sep"
"ET4.1","Surface",39.2437,-75.9249,"CHSTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",29.02402875,4.635058404,-24.38897034,-84.03027214,2.9e-15,"CHLA|Surface|Jan-Dec"
"ET4.1","Surface",39.2437,-75.9249,"CHSTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",21.50835886,4.871328621,-16.63703024,-77.35146298,1.28e-05,"CHLA|Surface|Mar-May"
"ET4.1","Surface",39.2437,-75.9249,"CHSTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",56.63095723,5.286176519,-51.34478071,-90.66557096,6.97e-16,"CHLA|Surface|Jul-Sep"
"ET5.1","Surface",38.80645,-75.90971,"CHOOH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",13.22441011,5.090820374,-8.133589739,-61.50436707,2.85e-08,"CHLA|Surface|Jan-Dec"
"ET5.1","Surface",38.80645,-75.90971,"CHOOH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",10.46025243,7.258042716,-3.202209713,-30.61312081,0.093448553,"CHLA|Surface|Mar-May"
"ET5.1","Surface",38.80645,-75.90971,"CHOOH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",26.10016313,8.774910945,-17.32525218,-66.37986168,7.38e-08,"CHLA|Surface|Jul-Sep"
"ET6.1","Surface",38.54833,-75.70306,"NANTF_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",11.47997994,18.51926281,7.039282864,61.31790212,0.012120048,"CHLA|Surface|Jan-Dec"
"ET6.1","Surface",38.54833,-75.70306,"NANTF_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",7.934975813,17.73494392,9.799968108,123.5034402,0.000800202,"CHLA|Surface|Mar-May"
"ET6.1","Surface",38.54833,-75.70306,"NANTF_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",28.76505235,46.08432271,17.31927036,60.20941715,0.042242251,"CHLA|Surface|Jul-Sep"
"ET6.2","Surface",38.34133,-75.88834,"NANMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",8.743015695,10.68384954,1.940833846,22.19867736,0.123385408,"CHLA|Surface|Jan-Dec"
"ET6.2","Surface",38.34133,-75.88834,"NANMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",8.549391043,10.92248494,2.373093892,27.75746108,0.109128141,"CHLA|Surface|Mar-May"
"ET6.2","Surface",38.34133,-75.88834,"NANMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",14.60278333,18.00501276,3.402229424,23.29849965,0.165984802,"CHLA|Surface|Jul-Sep"
"ET7.1","Surface",38.26783,-75.78793,"WICMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",6.843390438,6.888132394,0.044741956,0.65379809,0.967337141,"CHLA|Surface|Jan-Dec"
"ET7.1","Surface",38.26783,-75.78793,"WICMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",4.939380195,6.697068666,1.757688472,35.58520305,0.145672768,"CHLA|Surface|Mar-May"
"ET7.1","Surface",38.26783,-75.78793,"WICMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",14.06005139,11.62310994,-2.436941446,-17.33237936,0.356956496,"CHLA|Surface|Jul-Sep"
"ET8.1","Surface",38.13794,-75.81411,"MANMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",6.821176352,8.74497696,1.923800607,28.20335538,0.089256975,"CHLA|Surface|Jan-Dec"
"ET8.1","Surface",38.13794,-75.81411,"MANMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",7.22677843,8.620121173,1.393342743,19.28027483,0.381275348,"CHLA|Surface|Mar-May"
"ET8.1","Surface",38.13794,-75.81411,"MANMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",12.2509968,11.19517508,-1.055821716,-8.618251504,0.633522328,"CHLA|Surface|Jul-Sep"
"ET9.1","Surface",38.055,-75.80167,"BIGMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",4.927212198,5.88894658,0.961734383,19.51883426,0.221251815,"CHLA|Surface|Jan-Dec"
"ET9.1","Surface",38.055,-75.80167,"BIGMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",4.369439015,4.938155728,0.568716713,13.01578329,0.535935663,"CHLA|Surface|Mar-May"
"ET9.1","Surface",38.055,-75.80167,"BIGMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",8.83610591,8.731937631,-0.104168278,-1.178893503,0.949094181,"CHLA|Surface|Jul-Sep"
"MAT0016","Surface",38.56508,-77.19345,"MATTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",14.91168615,9.576060489,-5.335625665,-35.78150458,0.009226806,"CHLA|Surface|Jan-Dec"
"MAT0016","Surface",38.56508,-77.19345,"MATTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",12.47968635,12.40740922,-0.072277129,-0.579158215,0.978891319,"CHLA|Surface|Mar-May"
"MAT0016","Surface",38.56508,-77.19345,"MATTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",35.90683123,17.34543561,-18.56139563,-51.69321544,0.000577955,"CHLA|Surface|Jul-Sep"
"MAT0078","Surface",38.58852,-77.11864,"MATTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",1.858322872,1.482930509,-0.375392363,-20.2005996,0.193355444,"CHLA|Surface|Jan-Dec"
"MAT0078","Surface",38.58852,-77.11864,"MATTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",1.4705353,1.394644771,-0.075890529,-5.160741706,0.819483468,"CHLA|Surface|Mar-May"
"MAT0078","Surface",38.58852,-77.11864,"MATTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",4.556252508,2.816594732,-1.739657775,-38.18176829,0.025964368,"CHLA|Surface|Jul-Sep"
"PIS0033","Surface",38.69842,-76.98673,"PISTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",1.726565134,1.329886104,-0.396679029,-22.97503995,0.096675919,"CHLA|Surface|Jan-Dec"
"PIS0033","Surface",38.69842,-76.98673,"PISTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",2.079223489,1.620994797,-0.458228691,-22.038453,0.21854715,"CHLA|Surface|Mar-May"
"PIS0033","Surface",38.69842,-76.98673,"PISTF","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",2.451762513,1.766764815,-0.684997698,-27.93899061,0.091115191,"CHLA|Surface|Jul-Sep"
"RET2.1","Surface",38.4035,-77.2691,"POTOH1_M","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",4.284120472,5.384523152,1.10040268,25.68561475,0.235780721,"CHLA|Surface|Jan-Dec"
"RET2.1","Surface",38.4035,-77.2691,"POTOH1_M","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",4.417406081,6.144162988,1.726756906,39.08983857,0.182585233,"CHLA|Surface|Mar-May"
"RET2.1","Surface",38.4035,-77.2691,"POTOH1_M","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",6.955475317,11.57246118,4.616985859,66.37915668,0.016790997,"CHLA|Surface|Jul-Sep"
"RET2.2","Surface",38.3525,-77.2051,"POTOH1_M","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",4.749199596,5.455163324,0.705963729,14.86489911,0.449242301,"CHLA|Surface|Jan-Dec"
"RET2.2","Surface",38.3525,-77.2051,"POTOH1_M","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",5.110549688,5.815543613,0.704993925,13.79487469,0.554693229,"CHLA|Surface|Mar-May"
"RET2.2","Surface",38.3525,-77.2051,"POTOH1_M","MD","Potomac River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",7.449606633,10.67363227,3.224025635,43.27779699,0.083607004,"CHLA|Surface|Jul-Sep"
"TF1.2","Surface",38.81428,-76.7508,"WBRTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",3.082090434,2.155705446,-0.926384988,-30.05703459,0.000305087,"CHLA|Surface|Jan-Dec"
"TF1.2","Surface",38.81428,-76.7508,"WBRTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",3.574896143,3.093583609,-0.481312534,-13.4636788,0.333601151,"CHLA|Surface|Mar-May"
"TF1.2","Surface",38.81428,-76.7508,"WBRTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",4.112961934,1.912279576,-2.200682358,-53.50602299,7.05e-08,"CHLA|Surface|Jul-Sep"
"TF1.3","Surface",38.81092,-76.71227,"PAXTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",4.044893027,3.34683361,-0.698059416,-17.25779672,0.38682974,"CHLA|Surface|Jan-Dec"
"TF1.3","Surface",38.81092,-76.71227,"PAXTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",2.90335489,3.479574584,0.576219694,19.84668482,0.511187871,"CHLA|Surface|Mar-May"
"TF1.3","Surface",38.81092,-76.71227,"PAXTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",13.23039349,6.720253933,-6.510139559,-49.20594057,0.007390478,"CHLA|Surface|Jul-Sep"
"TF1.4","Surface",38.77302,-76.70927,"PAXTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",6.355795885,9.199765892,2.843970007,44.7460878,0.06795175,"CHLA|Surface|Jan-Dec"
"TF1.4","Surface",38.77302,-76.70927,"PAXTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",3.799151042,9.281325018,5.482173977,144.2999743,0.000709425,"CHLA|Surface|Mar-May"
"TF1.4","Surface",38.77302,-76.70927,"PAXTF","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jul-Sep",26.46445446,18.29821912,-8.16623534,-30.85737268,0.118392232,"CHLA|Surface|Jul-Sep"
"TF1.7","Surface",38.58211,-76.68101,"PAXOH","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Jan-Dec",11.02208386,12.15951803,1.137434171,10.31959279,0.614882731,"CHLA|Surface|Jan-Dec"
"TF1.7","Surface",38.58211,-76.68101,"PAXOH","MD","Patuxent River","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","Full Period","Mar-May",10.95853735,11.65338049,0.694843139,6.340655846,0.754645221,"CHLA|Surface|Mar-May"
