"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",5.165119836,3.022128726,-2.14299111,-41.48966874,0.000664739,"CHLA|Surface|Jan-Dec"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",6.544014425,4.146245178,-2.397769247,-36.64064733,0.005565956,"CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",8.969368494,4.701555291,-4.267813203,-47.58209239,0.000132633,"CHLA|Surface|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",5.696032215,3.644640239,-2.051391976,-36.01440263,0.015815815,"CHLA|Surface|Jan-Dec"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",7.09174593,4.743689462,-2.348056468,-33.10970939,0.032331442,"CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",9.161182911,5.687167311,-3.4740156,-37.92103742,0.015816894,"CHLA|Surface|Jul-Sep"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",9.334104249,8.907030821,-0.427073429,-4.575408814,0.745307582,"CHLA|Surface|Jan-Dec"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",10.3167548,9.482970409,-0.833784388,-8.081847487,0.571212194,"CHLA|Surface|Mar-May"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",10.51114036,9.718957479,-0.792182878,-7.536602607,0.607926955,"CHLA|Surface|Jul-Sep"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",9.740288461,9.841607335,0.101318874,1.040204039,0.933171704,"CHLA|Surface|Jan-Dec"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",10.68991288,10.77144337,0.081530494,0.762686236,0.952590294,"CHLA|Surface|Mar-May"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",11.29346496,11.10651019,-0.186954773,-1.655424387,0.89741085,"CHLA|Surface|Jul-Sep"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",8.825717159,8.726083014,-0.099634145,-1.128907069,0.930946131,"CHLA|Surface|Jan-Dec"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",9.257778157,8.730325433,-0.527452723,-5.697400761,0.659122181,"CHLA|Surface|Mar-May"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",11.45733281,11.56292164,0.105588837,0.921583046,0.946895513,"CHLA|Surface|Jul-Sep"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",26.49570736,23.83756446,-2.658142903,-10.03235304,0.411172577,"CHLA|Surface|Jan-Dec"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",23.84804742,17.9367567,-5.911290719,-24.78731535,0.090864905,"CHLA|Surface|Mar-May"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",52.87910704,60.42207342,7.542966382,14.26454947,0.414446961,"CHLA|Surface|Jul-Sep"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",1.27872502,0.639050402,-0.639674617,-50.02440771,0.003922766,"CHLA|Surface|Jan-Dec"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",1.190972547,0.718140466,-0.472832081,-39.70134174,0.082217287,"CHLA|Surface|Mar-May"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",2.422347581,1.022747979,-1.399599603,-57.77864471,0.003997224,"CHLA|Surface|Jul-Sep"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",4.765290265,3.743381614,-1.021908651,-21.44483535,0.120014484,"CHLA|Surface|Jan-Dec"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",6.70664521,5.456687653,-1.249957557,-18.63759776,0.232773656,"CHLA|Surface|Mar-May"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",5.453109971,4.296580015,-1.156529956,-21.20863071,0.183782719,"CHLA|Surface|Jul-Sep"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",26.56825964,27.80965168,1.241392042,4.672462775,0.757839642,"CHLA|Surface|Jan-Dec"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",30.86048101,32.47733191,1.616850901,5.239227801,0.724205033,"CHLA|Surface|Mar-May"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",37.92758649,39.74090359,1.813317097,4.780997855,0.763733129,"CHLA|Surface|Jul-Sep"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",4.912063044,3.805377618,-1.106685426,-22.5299516,0.128106894,"CHLA|Surface|Jan-Dec"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",6.437083057,5.437119569,-0.999963488,-15.53441954,0.358171888,"CHLA|Surface|Mar-May"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",6.263734018,4.628304718,-1.6354293,-26.10949467,0.111430088,"CHLA|Surface|Jul-Sep"
"ET3.1","Surface",39.36415,-75.88203,"SASOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",40.85213223,42.06529796,1.213165737,2.969650959,0.833918257,"CHLA|Surface|Jan-Dec"
"ET3.1","Surface",39.36415,-75.88203,"SASOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",36.71339156,37.90681933,1.193427771,3.250660645,0.812897316,"CHLA|Surface|Mar-May"
"ET3.1","Surface",39.36415,-75.88203,"SASOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",80.57225099,82.99985134,2.427600346,3.012948399,0.838291689,"CHLA|Surface|Jul-Sep"
"ET4.1","Surface",39.2437,-75.9249,"CHSTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",4.424794466,4.635058404,0.210263938,4.751948127,0.836955229,"CHLA|Surface|Jan-Dec"
"ET4.1","Surface",39.2437,-75.9249,"CHSTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Mar-May",4.312387756,4.871328621,0.558940865,12.96128494,0.687717486,"CHLA|Surface|Mar-May"
"ET4.1","Surface",39.2437,-75.9249,"CHSTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jul-Sep",8.546987068,5.286176519,-3.260810549,-38.1515793,0.095173546,"CHLA|Surface|Jul-Sep"
"ET5.1","Surface",38.80645,-75.90971,"CHOOH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend","2009-2010 to 2017-2018","Jan-Dec",4.826251012,5.090820374,0.264569362,5.481881517,0.748534896,"CHLA|Surface|Jan-Dec"
