"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",3.946904549,3.366020194,-0.580884355,-14.7174665,0.42143196,"CHLA|Surface|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",4.889306078,4.453449335,-0.435856743,-8.914490845,0.658187768,"CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",6.970718021,5.670598984,-1.300119037,-18.65114947,0.322702167,"CHLA|Surface|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",6.738646424,3.933650861,-2.804995563,-41.62550439,0.008903778,"CHLA|Surface|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",8.574084662,5.228476213,-3.345608449,-39.02000716,0.019617573,"CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",10.55921276,6.058558824,-4.500653941,-42.62300648,0.00752414,"CHLA|Surface|Jul-Sep"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",4.889822202,7.576421108,2.686598906,54.94267061,0.007474038,"CHLA|Surface|Annual"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",5.340158843,8.852131155,3.511972312,65.76531551,0.004800429,"CHLA|Surface|Mar-May"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",6.875520872,7.848458454,0.972937582,14.15074728,0.461085296,"CHLA|Surface|Jul-Sep"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",7.084749545,9.563977381,2.479227836,34.99386703,0.030611085,"CHLA|Surface|Annual"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",6.829314241,10.71844154,3.889127295,56.94755224,0.003086485,"CHLA|Surface|Mar-May"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",9.561310533,10.72350098,1.162190444,12.15513752,0.497866955,"CHLA|Surface|Jul-Sep"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",7.552931083,7.61510733,0.062176246,0.823206855,0.926240706,"CHLA|Surface|Annual"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",7.733225749,7.877619837,0.144394088,1.867190907,0.842480638,"CHLA|Surface|Mar-May"
"EE3.3","Surface",37.91455,-75.80148,"POCMH_MD","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",10.21862308,10.29206241,0.073439326,0.718681228,0.934228644,"CHLA|Surface|Jul-Sep"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",21.69391604,22.18407943,0.490163391,2.259450943,0.915992509,"CHLA|Surface|Annual"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",17.20511493,18.72915399,1.524039053,8.858057961,0.717541016,"CHLA|Surface|Mar-May"
"ET1.1","Surface",39.56976,-75.96782,"NORTF","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",45.22510377,48.64177056,3.416666792,7.554801443,0.74570158,"CHLA|Surface|Jul-Sep"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",4.444105604,0.476412723,-3.967692881,-89.27989643,1.77e-09,"CHLA|Surface|Annual"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",3.519370347,0.639679933,-2.879690414,-81.82402333,2.42e-06,"CHLA|Surface|Mar-May"
"ET10.1","Surface",38.07615,-75.57125,"POCTF","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",7.99937536,0.600222557,-7.399152803,-92.49663217,2.37e-07,"CHLA|Surface|Jul-Sep"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",7.380451284,4.081828296,-3.298622988,-44.69405543,0.010788446,"CHLA|Surface|Annual"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",10.72052252,5.709570988,-5.010951531,-46.74167254,0.020283417,"CHLA|Surface|Mar-May"
"ET2.1","Surface",39.5293,-75.81135,"C&DOH_MD","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",8.441028631,4.776666016,-3.664362614,-43.41132787,0.021366836,"CHLA|Surface|Jul-Sep"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",27.60888433,27.25810316,-0.350781176,-1.270537309,0.951684425,"CHLA|Surface|Annual"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",31.4716083,30.98450938,-0.487098927,-1.547740815,0.947110458,"CHLA|Surface|Mar-May"
"ET2.2","Surface",39.46704,-75.87368,"BOHOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",39.5238614,38.74117367,-0.782687732,-1.980291663,0.92652885,"CHLA|Surface|Jul-Sep"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",9.223944818,4.122088339,-5.101856479,-55.31100391,0.001081671,"CHLA|Surface|Annual"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Mar-May",13.0622361,5.75924758,-7.302988523,-55.90917562,0.004493673,"CHLA|Surface|Mar-May"
"ET2.3","Surface",39.50873,-75.89783,"ELKOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Jul-Sep",10.71095282,5.065122343,-5.645830481,-52.71081456,0.004211503,"CHLA|Surface|Jul-Sep"
"ET3.1","Surface",39.36415,-75.88203,"SASOH","MD","Upper Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","Full Period","Annual",32.00992711,38.1424445,6.13251739,19.15817355,0.424009089,"CHLA|Surface|Annual"
