"station","layer","latitude","longitude","cbSeg92","state","stationGrpName","parmName","gamName","periodName","seasonName","gamDiff.bl.mn.obs","gamDiff.cr.mn.obs","gamDiff.abs.chg.obs","gamDiff.pct.chg","gamDiff.chg.pval","mapLayer"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Annual",5.081146876,3.366020194,-1.715126683,-33.7547157,0.010408573,"CHLA|Surface|Annual"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Mar-May",6.574402274,4.453449335,-2.12095294,-32.26077217,0.016908292,"CHLA|Surface|Mar-May"
"CB1.1","Surface",39.54794,-76.08481,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Jul-Sep",8.472563478,5.670598984,-2.801964495,-33.07103572,0.02413656,"CHLA|Surface|Jul-Sep"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Annual",6.421244429,3.933650861,-2.487593568,-38.74005414,0.006831219,"CHLA|Surface|Annual"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Mar-May",7.55473667,5.228476213,-2.326260457,-30.79207865,0.03173628,"CHLA|Surface|Mar-May"
"CB2.1","Surface",39.44149,-76.02599,"CB1TF","MD","Chesapeake Bay Mainstem (CB1TF)","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Jul-Sep",10.72638291,6.058558824,-4.667824085,-43.51722407,0.002843633,"CHLA|Surface|Jul-Sep"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Annual",9.037325615,7.576421108,-1.460904506,-16.16523039,0.171852762,"CHLA|Surface|Annual"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Mar-May",10.28288001,8.852131155,-1.43074886,-13.91389239,0.229910163,"CHLA|Surface|Mar-May"
"EE2.2","Surface",38.52609,-76.30408,"LCHMH","MD","Choptank","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Jul-Sep",10.07723896,7.848458454,-2.228780505,-22.11697583,0.070594943,"CHLA|Surface|Jul-Sep"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Annual",10.0844263,9.563977381,-0.520448921,-5.160917493,0.609535807,"CHLA|Surface|Annual"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Mar-May",10.97069993,10.71844154,-0.252258394,-2.299382862,0.828092578,"CHLA|Surface|Mar-May"
"EE3.0","Surface",38.28093,-76.01033,"FSBMH","MD","Lower Eastern Shore","Chlorophyll a (Corrected) [ug/L]","Non-linear Trend with Flow Adjustment","2009-2010 to 2017-2018","Jul-Sep",11.60734611,10.72350098,-0.883845129,-7.614532391,0.470277576,"CHLA|Surface|Jul-Sep"
